Complexity,Loss,Equation
1,0.07501394708959984,"0.3926337745657694"
5,4.23282295514099e-6,"(x1 - x2) * 10.00018381727886"
7,4.04887393029828e-6,"((-7.496547813051723e-5 - x1) + x2) * -9.987364162797123"
9,3.902959747414788e-6,"(((x2 * 1.0001039831105474) + -0.0001431193419645805) - x1) * -9.987771563559727"
11,1.48176152878633e-6,"(x2 - (x1 + (2.179422473249645e-6 / (x2 + 0.0016871199732708905)))) * -9.998409757605813"
13,1.270859854151437e-6,"(x2 - ((4.711389068994424e-8 / ((x2 * x1) + 4.0741987327694694e-5)) + x1)) * -9.998902538414407"
15,1.2377602547275664e-6,"(((-0.0001687943423011107 / ((x2 * (x2 * 14545.480082341297)) - -0.14181042689087037)) + x2) - x1) * -9.999586300439896"
17,1.062030974941944e-6,"((x2 - x1) * -10.00758742883773) + (0.004212847584014035 / ((x2 / (0.01848385159124868 + (x2 - x1))) - -0.3549610297316449))"
19,1.0489475326069437e-6,"(0.0015847855440235914 / (((x2 / (0.025378501972287817 - x1)) * (x2 / 0.019756160035961094)) - -0.14681353097660638)) + ((x2 - x1) * -10.001924388627794)"
21,9.707755740687488e-7,"(((-0.0001715640289169197 / ((x2 / (-0.016474465030460704 / (-0.37902900441224624 - (x2 / (0.028047567636723832 - x1))))) - -0.142175921996606)) - x1) + x2) * -10.003112086870166"
23,9.634731920682462e-7,"(x2 - (x1 + (0.00017179668565042613 / ((x2 / (-0.017322511244424833 / (x1 + (-0.42328751377234175 - (x2 / (0.028328793823261197 - x1)))))) - -0.14206099858249502)))) * -10.002368150964536"
25,9.506317225290592e-7,"(0.0017234500775967848 / ((x2 / (-0.01831215095280117 / (((x2 / 0.22942956665895675) - (x2 / (0.028605524887996437 - x1))) + -0.45578939080796355))) - -0.1421792840711928)) + ((x2 - x1) * -10.001572246936288)"
27,9.312444313195653e-7,"((-0.00017476953288348698 / ((x2 / (-0.01992556109080421 / ((x1 * (x1 * 56.668226204410246)) + (-0.6091580004627098 - (x2 / (0.030208999910958878 - x1)))))) - -0.1426002697962825)) + (x2 - x1)) * -10.001469557030445"
29,9.24569069775999e-7,"((-0.0001747475382782366 / ((x2 / (-0.020166491833136162 / (((((x2 + x2) * x1) * 56.66822619285586) - (x2 / (0.03038174628291016 - x1))) + -0.6091874797950283))) - -0.14263415384845132)) + (x2 - x1)) * -10.00136351651174"
