Complexity,Loss,Equation
1,0.07496123723157098,"0.39177733921571434"
5,3.2184431919048997e-6,"(x1 - x2) * 10.000270195451684"
7,3.110294723791683e-6,"((x1 + 5.74093075278953e-5) - x2) * 9.990438635909465"
9,3.0218196764961972e-6,"(x1 - ((x2 / 0.9999188602213618) + -0.00011084416018571624)) * 9.990754930133198"
11,2.696003072655182e-6,"((x1 - -0.0001398601590473465) - x2) * ((x1 + 9.91120880885815) - x2)"
13,2.6039331353446054e-6,"(((x1 + 9.912558410099123) - x2) * ((x1 * 0.9999168699428417) - x2)) - -0.0019287190360930658"
15,2.3944038190821074e-6,"((x1 * 0.9997317677132229) - (x2 + -0.00032321517750234183)) * (((x1 * 1.05095060741958) + 9.875580176738708) - x2)"
17,2.281054797185548e-6,"((((x1 * 0.00046995997821580414) + 0.9993285898747706) * x1) - (x2 - 0.00030503944409106335)) * ((x1 + 9.91391857349802) - x2)"
19,2.197442423340965e-6,"(((x1 * 1.034163357470821) + (9.889348101861628 - x2)) * ((((x1 * 0.0003877271965733235) + 0.9993084920085238) * x1) - x2)) - -0.003679807605932887"
21,2.1256909546113653e-6,"(((x1 * (0.998332392617217 - ((-0.0025198785667369843 - (x1 * -0.0011008852294553536)) * x1))) - -0.00037494504043298244) - x2) * ((x1 + 9.91702451280344) - x2)"
23,1.6393615159100412e-6,"(((1.171283098190546 - (x2 * 0.11772395192670501)) * x1) + (9.862361338064247 - x2)) * ((x1 * ((x2 * 0.0007960994144165846) + 0.9988800091463642)) - (x2 - 0.00043907457035539146))"
25,1.3709935882299594e-6,"(((x1 * (1.1802004877250942 - ((x2 * 0.10365764134641244) * x1))) + 9.85144758964479) - x2) * (((((x2 * 0.0010504371323813292) + 0.9985382959946566) * x1) - x2) - -0.0005002818380522937)"
27,1.317517709021775e-6,"(((x1 * (1.1339753517311426 - (((x1 * x1) + -0.5696467773914407) * 0.1094138453636751))) + 9.846923058159597) - x2) * ((((x2 * 0.0010794019604683357) + 0.9985050911103743) * x1) - (x2 - 0.0005077354687274965))"
29,1.2890946603024763e-6,"((((x2 * 0.0011592636360674184) + 0.9984070011671178) * x1) - (x2 - 0.000552962895489535)) * (((x1 * (1.1486306819293983 - ((((x1 * x1) - 0.08548022339900584) + -0.4873972457366743) * 0.12401303062260467))) - x2) + 9.832776788214717)"
