Complexity,Loss,Equation
1,0.07496123723157098,"0.39177733862655356"
5,3.218443191904901e-6,"(x1 - x2) * 10.000270195604335"
7,3.1102947237917146e-6,"(x2 - (x1 - -5.7409312414871295e-5)) * -9.990438631651712"
9,3.021819676734549e-6,"0.0011074378534372171 - ((x2 - (x1 / 1.0000811462754333)) * 9.991565090526189)"
11,1.326575524841128e-6,"((1.668257817284146e-6 / (x2 + 0.0015355952120143083)) - (x2 - x1)) / 0.10001101054554658"
13,1.146802324763767e-6,"(7.959843118624288e-8 / ((x2 * x2) + 7.869943776224e-6)) - ((x2 - x1) / 0.10000172714251437)"
15,1.1365414109862503e-6,"(-0.0002055612533330455 - ((x2 - x1) / 0.09996696256993715)) + (9.202137895756443e-8 / ((x2 * x2) + 8.960964685398545e-6))"
17,1.136287782859197e-6,"(-0.00018921846146249062 - ((x2 - x1) / 0.09996966495264159)) - (-2.2516200877585934e-5 / (0.0021973957890985617 - ((x2 * x2) * -257.23319376479617)))"
19,1.1186223218766428e-6,"-0.0001931903181834812 - (((x2 - x1) / 0.09996850436862978) - (7.327628437554335e-7 / ((x2 * (x2 * (x2 / 0.0008168959193802613))) + 7.683116098376082e-5)))"
21,9.455236262481164e-7,"(2.8296375771406048e-5 - ((x2 - x1) / 0.09997390210842691)) - ((((x1 / -0.08005977878839204) - -0.3402682908516891) * -4.1940100416590834e-6) / ((x2 * x2) + 0.00014255638268162682))"
23,9.283322414754924e-7,"(-5.974756618395537e-7 - ((x2 - x1) / 0.09998152627420763)) - (((x1 / -0.0822175983862419) - -0.33706736177534796) * (-6.246856853933185e-7 / ((x2 * (x1 * x1)) + 2.13820200046013e-5)))"
25,9.059939179581282e-7,"((-1.8168717607843756e-6 - (x2 - x1)) / 0.09998171761409583) - ((((x1 / -0.08209628207564766) - -0.34072398619491184) * -3.4926239907651705e-5) / ((((x2 * x2) * x2) / 0.0045854343290646325) + 0.001214310700578119))"
27,9.02847856468775e-7,"((3.4610895558747245e-7 - (x2 - x1)) / 0.09998749527480186) - (((x1 / -0.08229513261734565) - -0.3407687308812619) * (-2.4136232930942326e-6 / (((((x2 * x1) * x2) * x2) / 0.004428585944835853) + 8.520793429043991e-5)))"
29,8.968465108425716e-7,"((-9.655881391943724e-7 - (x2 - x1)) / 0.09998202311703513) - ((((x1 / -0.08229515872333538) - -0.3407719682267423) / ((x1 * ((x2 * (x2 / 0.0044298366303635135)) * (x1 - x2))) + 8.803062891082096e-5)) * -2.5137633036385887e-6)"
