Complexity,Loss,Equation
1,0.07418928041674845,"0.39366765361990047"
5,1.0119297729204605e-6,"(x2 - x1) * -10.000466171390912"
7,1.0014137806478395e-6,"((x2 + -1.802225079222275e-5) - x1) * -9.99737134074967"
9,7.642560550510866e-7,"((x2 - x1) + -9.935511265566445) * (x2 - x1)"
11,4.4115177658294e-7,"(x2 - (x1 - -0.00010069449831501086)) * ((x2 - x1) + -9.918255871549572)"
13,4.174385623523818e-7,"((x2 - x1) * (((x1 - x2) * -1.2523648279937254) + -9.898416016371682)) - -0.001205284176488459"
17,4.0225640651708867e-7,"((x2 + (-0.0005321485079798954 - x1)) * (x2 + -2.5307298608059847)) + ((-7.38782974086886 - x1) * (x2 - x1))"
19,3.580483460944496e-7,"(((-8.474979301286151 - x1) * 1.0279947221061148) * (x2 - x1)) + ((x2 - (x1 + 0.0017131743049500496)) * (x2 + -1.1873403343011872))"
21,3.3830209362231757e-7,"((((x2 + -0.0010755791043952723) - x1) * ((x2 + -1.554692912368424) / 1.0182468699626985)) + ((x2 - x1) * (-5.5746561227534 - x1))) * 1.3899985351339106"
23,3.305007915658072e-7,"(((x2 + (0.00030735124641563993 - x1)) * (-4.402668696272583 - (x1 / 0.980683532520401))) + (((x2 + -0.0008418276240867121) - x1) * (x2 + -3.6847983960705513))) * 1.2220399980545935"
