Complexity,Loss,Equation
1,0.07464441494775652,"0.39214364432524823"
5,1.4732276857119772e-6,"(x2 - x1) * -10.000387547167346"
7,1.4631469111951441e-6,"(x1 - (x2 * 1.000019145480117)) / 0.09997395967239951"
9,8.263456840270086e-7,"(x2 + (-9.935409754233179 - x1)) * (x2 - x1)"
11,5.7492939489818e-7,"((x2 + -9.920264979568415) - x1) * (x2 - (x1 - -8.840840388618305e-5))"
13,3.9648527026204533e-7,"((((x2 - x1) * 1.6874712366881381) + -9.866157967744194) * (x2 - x1)) + 0.0014318702509762667"
15,3.8348810949466785e-7,"(((x2 - x1) * 1.9706207608357011) + -9.84429595465846) * ((x2 - (x1 * 0.9999433811632401)) + -0.00020553996601549093)"
17,2.7884866398340086e-7,"(0.0005561632363313087 / (x1 + 0.1891464958435435)) + ((x2 - x1) * (((x2 - x1) * 1.6172567298214682) + -9.882055318740546))"
19,1.4037449514226043e-7,"(((x2 - x1) * 1.6856910613388048) + -9.87315429943698) * (x2 + (((-1.3267262816811061e-5 / (x1 + 0.044522378629295006)) - x1) + -7.965667841299226e-5))"
21,1.3077033928917327e-7,"(((-1.9743228148510945e-5 / ((x2 + x2) + 0.08367224478411467)) + x2) - (x1 + 9.174862939225786e-5)) * (((x2 - x1) * 1.6816088949998744) + -9.871138954283792)"
23,1.914141328322151e-8,"(((x1 * (0.00024373929539542606 / ((x2 * x1) + 0.2021513985223077))) + (x2 - x1)) + -0.00034831509775200763) * (((x2 - x1) * 1.950068391884201) + -9.85235010061489)"
27,1.908710006704327e-8,"(0.9950103435531393 * (((x1 / (((x1 + 0.042832535850068174) * x2) + 0.20476778155234168)) * 0.00025908108647028133) + (x2 + (-0.0003532264845748624 - x1)))) * (((x2 - x1) * 1.975195222733727) + -9.900699482685196)"
29,1.8996646833383753e-8,"((((x2 + -0.016819501213870235) - x1) * 1.973239237055278) + -9.884850883009733) * (((x1 / ((x2 * (x1 + 0.04324772874676538)) + 0.2018016026200632)) * 0.0002559014121989982) + (((x2 + -0.0003524610890463458) - x1) * 0.9933153209331409))"
