Complexity,Loss,Equation
1,0.07509026230578832,"0.392477894884374"
5,2.497393445041205e-6,"(x2 - x1) * -10.000070950296516"
7,2.412615450136634e-6,"0.0005081787538990441 - ((x2 - x1) * 9.991369843665458)"
9,2.4126154501366174e-6,"(0.4110438210970381 - ((x2 - x1) * 9.991369843828403)) + -0.41053564233499995"
11,1.3086173921311462e-6,"(1.3582205450953692e-5 / (x2 + 0.0015865189753946807)) - ((x2 - x1) * 9.998939584262008)"
13,1.307129351890052e-6,"(1.3903871036954111e-5 / (x2 + 0.0016187563371608572)) - (((x2 + 3.0879378071430903e-6) - x1) * 9.999086397570878)"
15,1.2007003007685583e-6,"((-5.4123193948061865e-5 / ((x2 * (x2 * -8039.778078641822)) + -0.06826732053941709)) - (x2 - x1)) * 9.999698737661527"
17,1.1921102879441738e-6,"((-0.00046791777583760313 / (((x1 * x2) * (x2 * -3.4267224849280897e6)) + -0.6312227109244742)) - (x2 - x1)) * 9.999732712648544"
19,1.1874201697997025e-6,"(-0.007068682542744204 / ((x2 * ((x2 * (x2 * x2)) * -2.9491896603114266e9)) + -0.9740203894406689)) - ((x2 - x1) * 9.999761758791363)"
21,1.1580745620804908e-6,"(-0.006303814581383918 / ((((x2 * ((0.021968901872577048 - x2) * -1.7058221797152987e9)) * x2) * x2) + -0.8217209613531887)) - ((x2 - x1) * 10.000141554627305)"
23,1.1458421599785033e-6,"(-0.004556472994067304 / ((((x2 / ((x2 / -0.046295310723921866) - (x1 + -0.2501692454415471))) * -4152.7407062261655) * x2) + -0.5588256981532865)) - ((x2 - x1) * 9.99920580673499)"
25,1.1119222172335474e-6,"(-0.004561686954219069 / ((x2 * (((x1 * -0.003934354703564128) + ((x1 - x2) / (x2 + 0.15071082401680572))) * -6221.041334738784)) + -0.5588464925624943)) - ((x2 - x1) * 9.999269663772608)"
27,1.0949499404264652e-6,"(-0.0037502609847076137 / ((((((x1 - x2) / (x2 + 0.15076803488385285)) + (x1 * -0.004130955801274227)) * (x2 * -4018.2098150756146)) - x2) + -0.4748536436277327)) - ((x2 - x1) * 9.999068176567182)"
29,1.0949499403591352e-6,"(-0.0037502609208488994 / ((((x2 * ((((x1 - x2) / (x2 + 0.1507680347676496)) + (x1 * -0.004130955811133385)) * -6221.041334741807)) / 1.5482122664114977) + -0.4748536436145577) - x2)) - ((x2 - x1) * 9.999068176428324)"
