Complexity,Loss,Equation
1,0.07509026230578832,"0.3924778949254733"
5,2.4973934450412055e-6,"(x1 - x2) * 10.000070950787437"
7,2.412615450136545e-6,"(x1 - (x2 - 5.0861770064577554e-5)) * 9.9913698436252"
9,2.3570306483868758e-6,"((9.276580185691874e-5 - (x2 / 0.9999358384063253)) + x1) * 9.99164999914097"
11,1.3086170163517312e-6,"(((1.3577135557113513e-6 / (x2 - -0.0015854312964381598)) + x1) - x2) * 9.998950960664244"
13,1.213410953453446e-6,"(((2.701389110974062e-8 / ((x2 * x1) - -3.403597958794218e-5)) + x1) - x2) * 9.999592169099436"
15,1.2081553111457785e-6,"((x1 - x2) - (-0.000705706929037605 / ((x1 * (x2 * 35102.432730445136)) - -0.8799777845802967))) * 9.999666528369723"
17,1.0998429851729571e-6,"((x1 - x2) * 10.002562233359724) - ((x2 + -0.008914421263054263) / (((x2 * x2) * 18279.02982882359) - -1.1172146064848623))"
21,1.0777079240696138e-6,"((x1 - x2) * 10.00199450014534) - (-0.0067380992402333185 / ((x2 / (-0.0026104475288756365 / ((x2 / (x1 - 0.027092020850876065)) + -0.391200094893358))) - -0.8382423402892949))"
23,1.074213275344779e-6,"((x1 - x2) * 10.001557163840161) - (-0.004817607707551295 / ((x2 / (-0.003823774440076751 / ((x2 / (x1 - 0.027407974033437737)) + (x1 - 0.4469860398766887)))) - -0.5965628348541163))"
25,1.0717266293416636e-6,"((x1 - x2) * 10.001423044016642) - (-0.004839859437809139 / ((x2 / (-0.003892919023216137 / ((x2 / (x1 - 0.02774848196668971)) + ((x1 + x1) - 0.4900404867215231)))) - -0.5965631395184213))"
27,9.799304302392148e-7,"((x1 - x2) * 10.000196265675223) - (-0.004639739658170709 / ((x2 / (0.012582685941206552 / ((((x1 / (x1 - 0.025879413132586824)) - 0.45054499603719206) / (x2 - 0.693783556474451)) - x2))) - -0.5966491616153838))"
29,9.782179982965353e-7,"((x1 - x2) * 10.000061480062557) - (-0.004684777289855233 / (((x2 * 1.1593394947398563) / (0.013251414734651322 / ((((x1 / (x1 - 0.025794645690636404)) - 0.4510030278866426) / (x2 - 0.6932932077515693)) - x2))) - -0.5966637408215907))"
