Complexity,Loss,Equation
1,0.0750902623057883,"0.3924778948260944"
5,2.4973934450412033e-6,"(x2 - x1) * -10.000070950529896"
7,2.4126154501365395e-6,"(x1 - (x2 + -5.086176966134623e-5)) * 9.991369843677644"
11,1.3086170235191828e-6,"(x2 + ((-1.3577630824505142e-6 / (x2 + 0.0015855006881522415)) - x1)) * -9.998949702893952"
13,1.2007135932300258e-6,"(x2 - (x1 + (6.84387070387152e-9 / ((x2 * x2) + 8.649610143267207e-6)))) * -9.999694580321853"
15,1.200708121359846e-6,"(x2 + ((-6.847284298189834e-9 / (((x2 * x2) * 1.0042015167888312) + 8.648781169619885e-6)) - x1)) * -9.999694580321853"
17,7.716691265281425e-7,"0.35996346265417234 - ((((x2 - 1.343956633941463) * (x1 * 0.411130849635701)) + -9.838192470624628) * (x1 - (x2 + 0.036009571142934516)))"
19,7.576845393802836e-7,"0.36446287269984623 - ((x1 - ((x2 * 0.9999439133468354) + 0.036477636149384866)) * (((x1 * (x1 + -1.3893710904420156)) * 0.4063500414512069) + -9.84035098929632))"
23,7.1926263870515e-7,"0.3922609026844443 - ((-9.857824347789403 - (((x1 + x1) - x2) * (0.3384857679590442 - (x1 * (x2 * 0.20752908858539681))))) * (x1 - (x2 + 0.03924381019051846)))"
25,7.143333395283119e-7,"0.39525254038603386 - ((x1 - (x2 + 0.039547821071633626)) * (-9.856821735169811 - (((x1 - x2) * 0.40994646711588545) + ((0.33515017324383745 - ((x1 * x1) * 0.20586686515682787)) * x1))))"
27,2.95594115671614e-7,"0.4514177560217588 - ((-9.831888442876943 - ((0.3726522754282154 - (x2 * (x1 * 0.20941968994354102))) * (x2 + ((x1 - x2) / (x2 + 0.03349394245443836))))) * (x1 - (x2 + 0.045155700143073976)))"
29,2.6753147986501554e-7,"0.44336609907583246 - ((-9.816895267291278 - ((x2 + ((x1 - x2) / (x2 + 0.027120677016764634))) * (0.36224318962121027 - (((x2 * x1) * 0.17370747788752572) * x1)))) * (x1 - (x2 + 0.044348594793342216)))"
